pH,Temprature,Taste,Odor,Fat,Turbidity,Color,Grade
6.6,35,1,0,1,0,254,2
6.6,36,0,1,0,1,253,2
8.5,70,1,1,1,1,246,0
9.5,34,1,1,0,1,255,0
6.6,37,0,0,0,0,255,1
6.6,37,1,1,1,1,255,2
5.5,45,1,0,1,1,250,0
4.5,60,0,1,1,1,250,0
8.1,66,1,0,1,1,255,0
6.7,45,1,1,0,0,247,1
6.7,45,1,1,1,0,245,1
5.6,50,0,1,1,1,255,0
8.6,55,0,1,1,1,255,0
7.4,90,1,0,1,1,255,0
6.8,45,0,1,1,1,255,2
6.5,38,1,0,0,0,255,1
4.7,38,1,0,1,0,255,0
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
6.8,40,1,0,1,0,245,1
6.6,45,0,1,1,1,250,2
6.5,36,0,0,1,0,255,1
4.5,38,0,1,1,1,255,0
6.6,45,1,1,1,1,245,2
6.8,35,1,0,1,0,246,1
6.5,36,0,1,1,0,253,2
8.5,70,0,0,0,0,246,0
6.6,34,0,0,0,1,240,1
6.5,37,0,0,0,0,245,1
6.6,37,1,0,1,0,255,2
6.4,45,0,1,0,0,240,1
6.5,40,0,1,0,1,250,0
6.8,42,1,1,1,1,255,2
6.7,41,1,0,0,0,247,1
6.7,50,1,1,1,0,245,0
6.8,45,0,1,1,1,255,2
8.6,55,0,1,0,0,255,0
7.4,65,0,0,0,0,255,0
6.8,41,0,0,0,0,255,1
6.5,38,1,1,1,1,255,2
6.8,38,0,0,0,0,255,1
3,40,1,0,0,0,255,0
9,43,1,1,1,1,248,0
6.8,40,1,1,1,1,255,2
6.6,45,0,0,0,1,250,1
6.5,36,0,0,0,0,247,1
6.6,38,0,0,0,0,255,1
6.8,45,1,1,1,0,245,2
9.5,34,1,1,0,1,255,0
6.5,37,0,0,0,0,255,1
6.6,37,1,1,1,1,255,2
5.5,45,1,0,1,1,250,0
4.5,60,0,1,1,1,250,0
8.1,66,1,0,1,1,255,0
6.7,45,1,1,0,0,247,1
6.7,45,1,1,1,0,245,1
5.6,50,0,1,1,1,255,0
8.6,55,0,1,1,1,255,0
7.4,90,1,0,1,1,255,0
6.8,45,0,0,1,0,255,1
6.5,38,1,0,1,0,255,1
6.7,38,1,0,1,0,255,2
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
8.6,55,0,1,1,1,255,0
6.8,45,0,0,0,1,255,1
6.8,45,0,1,1,1,255,2
6.5,38,1,0,0,0,255,1
4.7,38,1,0,1,0,255,0
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
6.8,40,1,0,1,0,245,1
6.6,45,0,1,1,1,250,2
6.5,36,0,0,1,0,255,1
4.5,38,0,1,1,1,255,0
6.8,45,1,1,1,1,245,2
6.5,35,1,0,1,0,246,1
6.8,36,0,1,1,0,253,2
8.5,70,0,0,0,0,246,0
6.8,34,0,0,0,1,240,1
6.5,37,0,0,0,0,245,1
6.6,37,1,0,1,0,255,2
6.8,45,0,1,0,0,240,1
7.4,65,0,0,0,0,255,0
6.8,41,0,0,1,0,255,1
6.5,38,1,1,1,1,255,2
6.6,38,0,0,0,0,255,1
3,40,1,0,0,0,255,0
9,43,1,1,1,1,248,0
6.8,40,1,1,1,1,255,2
6.6,50,0,0,0,1,250,0
6.5,36,0,0,0,0,247,1
6.6,50,0,0,0,0,255,0
6.8,45,1,1,1,0,245,2
9.5,34,1,1,0,1,255,0
6.5,37,0,0,0,0,255,1
9.5,34,1,1,0,1,255,0
6.5,37,0,0,0,0,255,1
6.6,37,1,1,1,1,255,2
5.5,45,1,0,1,1,250,0
4.5,60,0,1,1,1,250,0
8.1,66,1,0,1,1,255,0
6.7,45,1,1,0,0,247,1
6.7,45,1,1,1,0,245,1
5.6,50,0,1,1,1,255,0
6.6,35,0,1,1,1,255,2
7.4,90,1,0,1,1,255,0
6.8,50,0,0,1,0,255,0
6.5,38,1,0,1,0,255,1
6.7,38,1,0,1,0,255,2
3,40,1,1,1,1,255,0
6.6,43,1,0,1,1,250,2
8.6,55,0,1,1,1,255,0
6.8,45,0,0,0,1,255,1
6.8,45,0,1,1,1,255,2
6.5,38,1,0,0,0,255,1
6.6,38,1,0,1,0,255,2
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
6.8,40,1,0,1,0,245,1
6.6,45,0,0,0,1,250,1
6.5,36,0,0,1,0,255,1
6.6,38,0,0,1,0,255,1
6.8,45,1,1,1,1,245,2
6.5,55,1,0,1,0,246,0
6.8,36,0,1,1,0,253,2
8.5,70,0,0,0,0,246,0
6.8,40,1,0,1,0,245,1
6.6,45,0,1,1,1,250,2
6.5,36,0,0,1,0,255,1
4.5,38,0,1,1,1,255,0
6.8,45,1,1,1,1,245,2
6.5,35,1,0,1,0,246,1
6.8,36,0,1,1,0,253,2
8.5,70,0,0,0,0,246,0
6.8,34,0,0,0,1,240,1
6.5,37,0,0,0,0,245,1
6.6,37,1,0,1,0,255,2
6.8,45,0,1,0,0,240,1
7.4,65,0,0,0,0,255,0
6.8,41,0,0,1,0,255,1
6.5,38,1,1,1,1,255,2
6.6,38,0,0,0,0,255,1
3,40,1,0,0,0,255,0
9,43,1,1,1,1,248,0
6.8,40,1,1,1,1,255,2
6.6,50,0,0,0,1,250,0
6.5,36,0,0,0,0,247,1
6.6,50,0,0,0,0,255,0
6.8,45,1,1,1,0,245,2
9.5,34,1,1,0,1,255,0
6.5,37,0,0,0,0,255,1
9.5,34,1,1,0,1,255,0
6.5,37,0,0,0,0,255,1
6.6,37,1,1,1,1,255,2
5.5,45,1,0,1,1,250,0
4.5,60,0,1,1,1,250,0
8.1,66,1,0,1,1,255,0
6.7,45,1,1,0,0,247,1
6.7,45,1,1,1,0,245,1
5.6,50,0,1,1,1,255,0
6.6,35,0,1,1,1,255,2
7.4,90,1,0,1,1,255,0
6.8,50,0,0,1,0,255,0
6.5,38,1,0,1,0,255,1
6.7,41,1,0,0,0,247,1
6.7,50,1,1,1,0,245,0
6.8,45,0,1,1,1,255,2
8.6,55,0,1,0,0,255,0
7.4,65,0,0,0,0,255,0
6.8,41,0,0,0,0,255,1
6.5,38,1,1,1,1,255,2
6.8,38,0,0,0,0,255,1
3,40,1,0,0,0,255,0
9,43,1,1,1,1,248,0
6.8,40,1,1,1,1,255,2
6.6,45,0,0,0,1,250,1
6.5,36,0,0,0,0,247,1
6.6,38,0,0,0,0,255,1
6.8,45,1,1,1,0,245,2
9.5,34,1,1,0,1,255,0
6.5,37,0,0,0,0,255,1
6.6,37,1,1,1,1,255,2
5.5,45,1,0,1,1,250,0
4.5,60,0,1,1,1,250,0
8.1,66,1,0,1,1,255,0
6.7,45,1,1,0,0,247,1
6.7,45,1,1,1,0,245,1
5.6,50,0,1,1,1,255,0
8.6,55,0,1,1,1,255,0
7.4,90,1,0,1,1,255,0
6.8,45,0,0,1,0,255,1
6.5,38,1,0,1,0,255,1
6.7,38,1,0,1,0,255,2
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
8.6,55,0,1,1,1,255,0
6.8,45,0,0,0,1,255,1
6.8,45,0,1,1,1,255,2
6.5,38,1,0,0,0,255,1
4.7,38,1,0,1,0,255,0
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
6.8,40,1,0,1,0,245,1
6.5,37,0,0,0,0,255,1
6.6,37,1,1,1,1,255,2
5.5,45,1,0,1,1,250,0
4.5,60,0,1,1,1,250,0
8.1,66,1,0,1,1,255,0
6.7,45,1,1,0,0,247,1
6.7,45,1,1,1,0,245,1
5.6,50,0,1,1,1,255,0
8.6,55,0,1,1,1,255,0
7.4,90,1,0,1,1,255,0
6.8,45,0,0,1,0,255,1
6.5,38,1,0,1,0,255,1
6.7,38,1,0,1,0,255,2
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
8.6,55,0,1,1,1,255,0
6.8,45,0,0,0,1,255,1
6.8,45,0,1,1,1,255,2
6.5,38,1,0,0,0,255,1
4.7,38,1,0,1,0,255,0
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
6.8,40,1,0,1,0,245,1
6.6,45,0,1,1,1,250,2
6.5,36,0,0,1,0,255,1
4.5,38,0,1,1,1,255,0
6.8,45,1,1,1,1,245,2
6.5,35,1,0,1,0,246,1
6.8,36,0,1,1,0,253,2
8.5,70,0,0,0,0,246,0
6.8,34,0,0,0,1,240,1
6.5,37,0,0,0,0,245,1
6.6,37,1,0,1,0,255,2
6.8,45,0,1,0,0,240,1
7.4,65,0,0,0,0,255,0
6.8,41,0,0,1,0,255,1
6.5,38,1,1,1,1,255,2
6.6,38,0,0,0,0,255,1
3,40,1,0,0,0,255,0
9,43,1,1,1,1,248,0
6.5,38,1,0,1,0,255,1
6.7,38,1,0,1,0,255,2
3,40,1,1,1,1,255,0
6.6,43,1,0,1,1,250,2
8.6,55,0,1,1,1,255,0
6.8,45,0,0,0,1,255,1
6.8,45,0,1,1,1,255,2
6.5,38,1,0,0,0,255,1
6.6,38,1,0,1,0,255,2
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
6.8,40,1,0,1,0,245,1
6.6,45,0,0,0,1,250,1
6.5,36,0,0,1,0,255,1
6.6,38,0,0,1,0,255,1
6.8,45,1,1,1,1,245,2
6.5,55,1,0,1,0,246,0
6.8,36,0,1,1,0,253,2
8.5,70,0,0,0,0,246,0
6.8,40,1,0,1,0,245,1
6.6,45,0,1,1,1,250,2
6.5,36,0,0,1,0,255,1
4.5,38,0,1,1,1,255,0
6.8,45,1,1,1,1,245,2
6.5,35,1,0,1,0,246,1
6.8,36,0,1,1,0,253,2
8.5,70,0,0,0,0,246,0
6.8,34,0,0,0,1,240,1
9,43,1,1,1,1,248,0
6.8,40,1,1,1,1,255,2
6.6,50,0,0,0,1,250,0
6.5,36,0,0,0,0,247,1
6.6,50,0,0,0,0,255,0
6.8,45,1,1,1,0,245,2
9.5,34,1,1,0,1,255,0
6.5,37,0,0,0,0,255,1
9.5,34,1,1,0,1,255,0
6.5,37,0,0,0,0,255,1
6.6,37,1,1,1,1,255,2
5.5,45,1,0,1,1,250,0
4.5,60,0,1,1,1,250,0
8.1,66,1,0,1,1,255,0
6.7,45,1,1,0,0,247,1
6.7,45,1,1,1,0,245,1
5.6,50,0,1,1,1,255,0
6.6,35,0,1,1,1,255,2
7.4,90,1,0,1,1,255,0
6.8,50,0,0,1,0,255,0
6.5,38,1,0,1,0,255,1
6.7,41,1,0,0,0,247,1
6.7,50,1,1,1,0,245,0
6.8,45,0,1,1,1,255,2
8.6,55,0,1,0,0,255,0
7.4,65,0,0,0,0,255,0
6.8,41,0,0,0,0,255,1
6.5,38,1,1,1,1,255,2
6.8,38,0,0,0,0,255,1
3,40,1,0,0,0,255,0
9,43,1,1,1,1,248,0
6.8,40,1,1,1,1,255,2
6.6,45,0,0,0,1,250,1
6.5,36,0,0,0,0,247,1
6.6,38,0,0,0,0,255,1
6.8,45,1,1,1,0,245,2
9.5,34,1,1,0,1,255,0
6.5,37,0,0,0,0,255,1
6.6,37,1,1,1,1,255,2
5.5,45,1,0,1,1,250,0
4.5,60,0,1,1,1,250,0
8.1,66,1,0,1,1,255,0
6.7,45,1,1,0,0,247,1
6.7,45,1,1,1,0,245,1
5.6,50,0,1,1,1,255,0
8.6,55,0,1,1,1,255,0
7.4,90,1,0,1,1,255,0
6.8,45,0,0,1,0,255,1
6.5,38,1,0,1,0,255,1
6.7,38,1,0,1,0,255,2
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
8.6,55,0,1,1,1,255,0
6.8,45,0,0,0,1,255,1
6.8,45,0,1,1,1,255,2
6.5,38,1,0,0,0,255,1
4.7,38,1,0,1,0,255,0
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
6.8,40,1,0,1,0,245,1
6.5,37,0,0,0,0,255,1
6.6,37,1,1,1,1,255,2
5.5,45,1,0,1,1,250,0
4.5,60,0,1,1,1,250,0
8.1,66,1,0,1,1,255,0
6.7,45,1,1,0,0,247,1
6.7,45,1,1,1,0,245,1
5.6,50,0,1,1,1,255,0
8.6,55,0,1,1,1,255,0
7.4,90,1,0,1,1,255,0
6.8,45,0,0,1,0,255,1
6.5,38,1,0,1,0,255,1
6.7,38,1,0,1,0,255,2
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
8.6,55,0,1,1,1,255,0
6.8,45,0,0,0,1,255,1
6.8,45,0,1,1,1,255,2
6.5,38,1,0,0,0,255,1
4.7,38,1,0,1,0,255,0
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
6.8,40,1,0,1,0,245,1
6.6,45,0,1,1,1,250,2
6.5,36,0,0,1,0,255,1
4.5,38,0,1,1,1,255,0
6.8,45,1,1,1,1,245,2
6.5,35,1,0,1,0,246,1
6.8,36,0,1,1,0,253,2
8.5,70,0,0,0,0,246,0
6.8,34,0,0,0,1,240,1
6.5,37,0,0,0,0,245,1
6.6,37,1,0,1,0,255,2
6.8,45,0,1,0,0,240,1
7.4,65,0,0,0,0,255,0
6.8,41,0,0,1,0,255,1
6.5,38,1,1,1,1,255,2
6.6,38,0,0,0,0,255,1
3,40,1,0,0,0,255,0
9,43,1,1,1,1,248,0
6.5,38,1,0,1,0,255,1
6.7,38,1,0,1,0,255,2
3,40,1,1,1,1,255,0
6.6,43,1,0,1,1,250,2
8.6,55,0,1,1,1,255,0
6.8,45,0,0,0,1,255,1
6.8,45,0,1,1,1,255,2
6.5,38,1,0,0,0,255,1
6.6,38,1,0,1,0,255,2
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
6.8,40,1,0,1,0,245,1
6.6,45,0,0,0,1,250,1
6.5,36,0,0,1,0,255,1
6.8,45,0,1,1,1,255,2
6.5,38,1,0,0,0,255,1
4.7,38,1,0,1,0,255,0
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
6.8,40,1,0,1,0,245,1
6.6,45,0,1,1,1,250,2
6.5,36,0,0,1,0,255,1
4.5,38,0,1,1,1,255,0
6.8,45,1,1,1,1,245,2
6.5,35,1,0,1,0,246,1
6.8,36,0,1,1,0,253,2
8.5,70,0,0,0,0,246,0
6.8,34,0,0,0,1,240,1
6.5,37,0,0,0,0,245,1
6.6,37,1,0,1,0,255,2
6.8,45,0,1,0,0,240,1
7.4,65,0,0,0,0,255,0
6.8,41,0,0,1,0,255,1
6.5,38,1,1,1,1,255,2
6.6,38,0,0,0,0,255,1
3,40,1,0,0,0,255,0
9,43,1,1,1,1,248,0
6.8,40,1,1,1,1,255,2
6.6,50,0,0,0,1,250,0
6.5,36,0,0,0,0,247,1
6.6,50,0,0,0,0,255,0
6.8,45,1,1,1,0,245,2
9.5,34,1,1,0,1,255,0
6.5,37,0,0,0,0,255,1
9.5,34,1,1,0,1,255,0
6.5,37,0,0,0,0,255,1
6.6,37,1,1,1,1,255,2
5.5,45,1,0,1,1,250,0
4.5,60,0,1,1,1,250,0
8.1,66,1,0,1,1,255,0
6.7,45,1,1,0,0,247,1
6.7,45,1,1,1,0,245,1
5.6,50,0,1,1,1,255,0
6.6,35,0,1,1,1,255,2
7.4,90,1,0,1,1,255,0
6.8,50,0,0,1,0,255,0
6.5,38,1,0,1,0,255,1
6.7,38,1,0,1,0,255,2
3,40,1,1,1,1,255,0
6.6,43,1,0,1,1,250,2
8.6,55,0,1,1,1,255,0
6.8,45,0,0,0,1,255,1
6.8,45,0,1,1,1,255,2
6.5,38,1,0,0,0,255,1
6.6,38,1,0,1,0,255,2
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
6.8,40,1,0,1,0,245,1
6.6,45,0,0,0,1,250,1
6.5,36,0,0,1,0,255,1
6.6,38,0,0,1,0,255,1
6.8,45,1,1,1,1,245,2
6.5,55,1,0,1,0,246,0
6.8,36,0,1,1,0,253,2
8.5,70,0,0,0,0,246,0
6.8,40,1,0,1,0,245,1
6.6,45,0,1,1,1,250,2
6.5,36,0,0,1,0,255,1
4.5,38,0,1,1,1,255,0
6.8,45,1,1,1,1,245,2
6.5,35,1,0,1,0,246,1
6.8,36,0,1,1,0,253,2
8.5,70,0,0,0,0,246,0
6.6,50,0,0,0,0,255,0
6.8,45,1,1,1,0,245,2
9.5,34,1,1,0,1,255,0
6.5,37,0,0,0,0,255,1
9.5,34,1,1,0,1,255,0
6.5,37,0,0,0,0,255,1
6.6,37,1,1,1,1,255,2
5.5,45,1,0,1,1,250,0
4.5,60,0,1,1,1,250,0
8.1,66,1,0,1,1,255,0
6.7,45,1,1,0,0,247,1
6.7,45,1,1,1,0,245,1
5.6,50,0,1,1,1,255,0
6.6,35,0,1,1,1,255,2
7.4,90,1,0,1,1,255,0
6.8,50,0,0,1,0,255,0
6.5,38,1,0,1,0,255,1
6.7,38,1,0,1,0,255,2
3,40,1,1,1,1,255,0
6.6,43,1,0,1,1,250,2
8.6,55,0,1,1,1,255,0
6.8,45,0,0,0,1,255,1
6.8,45,0,1,1,1,255,2
6.5,38,1,0,0,0,255,1
6.6,38,1,0,1,0,255,2
3,40,1,1,1,1,255,0
9,43,1,0,1,1,250,0
6.8,40,1,0,1,0,245,1
6.6,45,0,0,0,1,250,1
6.5,36,0,0,1,0,255,1
6.6,38,0,0,1,0,255,1
6.8,45,1,1,1,1,245,2
6.5,55,1,0,1,0,246,0
6.8,36,0,1,1,0,253,2
8.5,70,0,0,0,0,246,0
6.8,40,1,0,1,0,245,1
6.6,45,0,1,1,1,250,2
6.5,36,0,0,1,0,255,1
4.5,38,0,1,1,1,255,0
6.8,45,1,1,1,1,245,2
6.5,35,1,0,1,0,246,1
6.8,36,0,1,1,0,253,2
8.5,70,0,0,0,0,246,0
6.8,34,0,0,0,1,240,1
6.5,37,0,0,0,0,245,1
6.6,37,1,0,1,0,255,2
6.8,45,0,1,0,0,240,1
7.4,65,0,0,0,0,255,0
6.8,41,0,0,1,0,255,1
6.5,38,1,1,1,1,255,2
6.6,38,0,0,0,0,255,1
3,40,1,0,0,0,255,0
9,43,1,1,1,1,248,0
6.8,40,1,1,1,1,255,2
6.6,50,0,0,0,1,250,0
6.5,36,0,0,0,0,247,1
6.6,50,0,0,0,0,255,0
6.8,45,1,1,1,0,245,2
9.5,34,1,1,0,1,255,0
6.5,37,0,0,0,0,255,1
9.5,34,1,1,0,1,255,0
6.5,37,0,0,0,0,255,1
6.6,37,1,1,1,1,255,2
5.5,45,1,0,1,1,250,0
4.5,60,0,1,1,1,250,0
8.1,66,1,0,1,1,255,0
6.7,45,1,1,0,0,247,1
6.7,45,1,1,1,0,245,1
5.6,50,0,1,1,1,255,0
6.6,35,0,1,1,1,255,2
7.4,90,1,0,1,1,255,0
6.8,50,0,0,1,0,255,0
